(1.0, np.float64(1.2500000000000002), 0)
(-1.0, np.float64(1.2500000000000002), 0)
(np.float64(-3.1650635094610964), 0, 0)
(-1.0, np.float64(-1.2500000000000002), 0)
(1.0, np.float64(-1.2500000000000002), 0)
(np.float64(3.1650635094610964), 0, 0)
(1.0, np.float64(1.2500000000000002), 1.0)
(-1.0, np.float64(1.2500000000000002), 1.0)
(np.float64(-3.1650635094610964), 0, 1.0)
(-1.0, np.float64(-1.2500000000000002), 1.0)
(1.0, np.float64(-1.2500000000000002), 1.0)
(np.float64(3.1650635094610964), 0, 1.0)
